CustomerID,Age,Gender,MaritalStatus,IncomeLevel,TotalSpent,NumTransactions,NumInteractions,UnresolvedCount,LastLoginDate,LoginFrequency,ServiceUsage,ChurnStatus,Churn,AgeGroup,DemoCluster
1,62,M,Single,Low,416.5,1,1.0,0.0,2023-10-21,34,Mobile App,0,Not Churned,60+,1
2,65,M,Married,Low,1547.4199999999998,7,1.0,0.0,2023-12-05,5,Website,1,Churned,60+,4
3,18,M,Single,Low,1702.98,6,1.0,0.0,2023-11-15,3,Website,0,Not Churned,<30,1
4,21,M,Widowed,Low,917.29,5,2.0,1.0,2023-08-25,2,Website,0,Not Churned,<30,5
5,21,M,Divorced,Medium,2001.49,8,0.0,0.0,2023-10-27,41,Website,0,Not Churned,<30,6
6,57,F,Divorced,Medium,1164.29,5,1.0,0.0,2023-09-17,2,Website,0,Not Churned,50-60,3
7,27,F,Married,High,86.73,1,0.0,0.0,2023-01-07,32,Mobile App,0,Not Churned,<30,0
8,37,M,Single,Low,2046.88,7,2.0,2.0,2023-04-22,17,Online Banking,1,Churned,30-40,1
9,39,M,Divorced,High,1317.24,5,1.0,0.0,2023-06-27,24,Website,0,Not Churned,30-40,6
10,68,M,Married,High,1397.36,7,0.0,0.0,2023-01-13,29,Online Banking,1,Churned,60+,4
11,54,M,Divorced,Medium,1733.83,5,2.0,1.0,2023-01-22,30,Online Banking,0,Not Churned,50-60,6
12,41,F,Married,Low,87.1,1,2.0,1.0,2023-12-31,43,Website,0,Not Churned,40-50,0
13,24,F,Divorced,Low,392.02,3,1.0,0.0,2023-07-05,10,Mobile App,0,Not Churned,<30,3
14,42,M,Widowed,Medium,2843.59,9,2.0,1.0,2023-01-10,26,Online Banking,0,Not Churned,40-50,5
15,42,M,Divorced,Medium,1914.02,8,2.0,2.0,2023-06-15,44,Online Banking,0,Not Churned,40-50,6
16,30,F,Single,Medium,2019.79,9,2.0,0.0,2023-03-15,41,Online Banking,1,Churned,<30,7
17,19,M,Married,Low,1625.27,7,2.0,1.0,2023-09-03,8,Online Banking,0,Not Churned,<30,4
18,56,F,Married,High,951.38,5,1.0,1.0,2023-11-24,37,Website,1,Churned,50-60,0
19,57,F,Divorced,High,1017.26,5,2.0,2.0,2023-03-08,39,Online Banking,0,Not Churned,50-60,3
20,41,M,Single,Low,2775.85,9,1.0,0.0,2023-08-15,16,Website,0,Not Churned,40-50,1
21,64,M,Divorced,High,913.02,5,0.0,0.0,2023-06-16,18,Website,0,Not Churned,60+,6
22,42,F,Divorced,Low,1582.73,6,2.0,0.0,2023-05-06,42,Mobile App,0,Not Churned,40-50,3
23,35,F,Divorced,Low,1490.74,4,2.0,1.0,2023-07-07,19,Mobile App,0,Not Churned,30-40,3
24,55,M,Widowed,Medium,1143.22,5,1.0,0.0,2023-10-04,12,Mobile App,0,Not Churned,50-60,5
25,43,F,Married,Low,764.77,3,1.0,0.0,2023-02-15,27,Mobile App,0,Not Churned,40-50,0
26,31,M,Single,Medium,571.76,3,1.0,0.0,2023-09-29,45,Mobile App,1,Churned,30-40,1
27,26,M,Widowed,Medium,2210.6,8,1.0,1.0,2023-10-01,22,Mobile App,0,Not Churned,<30,5
28,27,F,Widowed,High,1702.26,6,2.0,2.0,2023-10-26,42,Online Banking,0,Not Churned,<30,2
29,38,F,Divorced,Medium,853.0699999999999,3,2.0,1.0,2023-09-02,34,Website,0,Not Churned,30-40,3
30,69,M,Divorced,High,706.66,2,2.0,1.0,2023-07-12,38,Website,0,Not Churned,60+,6
31,34,M,Divorced,Low,1108.56,5,2.0,0.0,2023-08-17,23,Online Banking,0,Not Churned,30-40,6
