CustomerID,Age,Gender,MaritalStatus,IncomeLevel,TotalSpent,NumTransactions,NumInteractions,UnresolvedCount,LastLoginDate,LoginFrequency,ServiceUsage,ChurnStatus,Churn,AgeGroup,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,RiskFlag
1,62,M,Single,Low,416.5,1,1.0,0.0,2023-10-21,34,Mobile App,0,Not Churned,60-69,72,34,416.5,5,4,1,541,Loyal,Safe
2,65,M,Married,Low,1547.4199999999998,7,1.0,0.0,2023-12-05,5,Website,1,Churned,60-69,27,5,1547.4199999999998,5,1,4,514,Recent,Monitor
3,18,M,Single,Low,1702.98,6,1.0,0.0,2023-11-15,3,Website,0,Not Churned,<20,47,3,1702.98,5,1,4,514,Recent,Monitor
4,21,M,Widowed,Low,917.29,5,2.0,1.0,2023-08-25,2,Website,0,Not Churned,20-29,129,2,917.29,4,1,2,412,Recent,At Risk
5,21,M,Divorced,Medium,2001.49,8,0.0,0.0,2023-10-27,41,Website,0,Not Churned,20-29,66,41,2001.49,5,5,5,555,Champions,Safe
6,57,F,Divorced,Medium,1164.29,5,1.0,0.0,2023-09-17,2,Website,0,Not Churned,50-59,106,2,1164.29,4,1,3,413,Recent,Monitor
7,27,F,Married,High,86.73,1,0.0,0.0,2023-01-07,32,Mobile App,0,Not Churned,20-29,359,32,86.73,1,4,1,141,Frequent,Monitor
8,37,M,Single,Low,2046.88,7,2.0,2.0,2023-04-22,17,Online Banking,1,Churned,30-39,254,17,2046.88,2,2,5,225,At Risk,At Risk
9,39,M,Divorced,High,1317.24,5,1.0,0.0,2023-06-27,24,Website,0,Not Churned,30-39,188,24,1317.24,3,3,3,333,Loyal,Safe
10,68,M,Married,High,1397.36,7,0.0,0.0,2023-01-13,29,Online Banking,1,Churned,60-69,353,29,1397.36,1,3,3,133,Others,Monitor
11,54,M,Divorced,Medium,1733.83,5,2.0,1.0,2023-01-22,30,Online Banking,0,Not Churned,50-59,344,30,1733.83,1,3,4,134,Others,At Risk
